symbol,longName,regularMarketPrice,regularMarketChangePercent,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,fiftyTwoWeekRange,epsTrailingTwelveMonths,trailingPE,trailingAnnualDividendYield,12mMinMaxChange
GGBR4.SA,Gerdau S.A.,28.6,5.2631593,9.22,20.18,9.16 - 30.0,1.383,20.679682,1.55,227.51
LREN3.SA,Lojas Renner S.A.,41.98,-2.0760424,5.52,-0.3,29.21 - 49.9,1.379,30.44235,0.8,70.83
CRFB3.SA,Atacadão S.A.,22.22,0.36133662,13.07,12.13,16.74 - 23.4,1.346,16.508173,1.1,39.78
CMIG4.SA,Companhia Energética de Minas Gerais,12.43,-0.08038003,-1.22,0.63,7.280543 - 15.42,1.337,9.296933,4.01,111.8
BEEF3.SA,Minerva S.A.,9.83,0.3061197,1.86,-5.09,7.29 - 15.23,1.327,7.407686,10.47,108.92
GNDI3.SA,Notre Dame Intermédica Participações S.A.,84.99,-2.4225035,-4.68,7.8,37.32 - 103.04,1.188,71.540405,,176.1
IGTA3.SA,Iguatemi Empresa de Shopping Centers S.A.,36.45,-0.8433013,7.4,5.5,26.86 - 40.24,1.148,31.750872,0.77,49.81
MRVE3.SA,MRV Engenharia e Participações S.A.,17.54,0.22857666,-1.74,-4.74,10.46 - 21.76,1.143,15.345583,1.55,108.03
WEGE3.SA,WEG S.A.,72.74,2.3497934,-7.07,-5.64,31.42 - 93.86,1.115,65.23766,0.84,198.73
JHSF3.SA,JHSF Participações S.A.,6.74,-3.0215833,-3.1,-8.11,2.78 - 10.62,0.963,6.9989614,,282.01
ITSA4.SA,Itaúsa - Investimentos Itaú SA,10.36,1.1353283,0.41,-0.29,7.84 - 12.35,0.839,12.348033,2.17,57.53
UGPA3.SA,Ultrapar Participações S.A.,20.92,3.7698426,0.7,-1.14,10.68 - 25.22,0.817,25.605877,2.18,136.14
ENGI11.SA,Energisa S.A.,44.29,0.65909296,-3.73,-3.44,35.1 - 53.48,0.81,54.679012,0.63,52.36
GOAU4.SA,Metalurgica Gerdau S.A.,12.74,4.4262295,8.08,18.44,4.07 - 13.3,0.808,15.767326,1.97,226.78
FLRY3.SA,Fleury S.A.,25.16,0.19912082,-4.36,-7.31,18.98 - 29.81,0.8,31.449999,2.5,57.06
ENEV3.SA,Eneva S.A.,16.45,0.55012316,-3.4,11.07,7.85 - 18.86,0.794,20.717884,,140.25
TIMS3.SA,TIM S.A.,12.84,0.6269586,-3.92,-5.37,11.42 - 17.5,0.762,16.850393,,53.24
LCAM3.SA,Companhia de Locação das Américas,23.06,1.0960106,-7.35,-11.02,9.06 - 30.7,0.75,30.746666,1.62,238.85
